Team,Slot,Unit,Notes
Defense,Unit 1,Lone Wolf Peira,"Benimaru ideally 180+ spd on Symbol (guaranteed hit on Peira + BBK)
Veronica high eff
Flan own Arti

Rotation: Peira S3/S2 into random target (place Flan front); Benimaru pushes; s1 with Veronica into Mort (cant counter, Veronica safe survives); Benimaru S3 into Peira (kills + proccs BBK 2nd immortality); S3 Flan into Mort; Veronica s3 mort, kill off BBK with Veronica s1. Mort cant kill flan 1v1"
Defense,Unit 2,Blood Blade Karin,"Benimaru ideally 180+ spd on Symbol (guaranteed hit on Peira + BBK)
Veronica high eff
Flan own Arti

Rotation: Peira S3/S2 into random target (place Flan front); Benimaru pushes; s1 with Veronica into Mort (cant counter, Veronica safe survives); Benimaru S3 into Peira (kills + proccs BBK 2nd immortality); S3 Flan into Mort; Veronica s3 mort, kill off BBK with Veronica s1. Mort cant kill flan 1v1"
Defense,Unit 3,Mort,"Benimaru ideally 180+ spd on Symbol (guaranteed hit on Peira + BBK)
Veronica high eff
Flan own Arti

Rotation: Peira S3/S2 into random target (place Flan front); Benimaru pushes; s1 with Veronica into Mort (cant counter, Veronica safe survives); Benimaru S3 into Peira (kills + proccs BBK 2nd immortality); S3 Flan into Mort; Veronica s3 mort, kill off BBK with Veronica s1. Mort cant kill flan 1v1"
Attack,Unit 1,Benimaru,"Benimaru ideally 180+ spd on Symbol (guaranteed hit on Peira + BBK)
Veronica high eff
Flan own Arti

Rotation: Peira S3/S2 into random target (place Flan front); Benimaru pushes; s1 with Veronica into Mort (cant counter, Veronica safe survives); Benimaru S3 into Peira (kills + proccs BBK 2nd immortality); S3 Flan into Mort; Veronica s3 mort, kill off BBK with Veronica s1. Mort cant kill flan 1v1"
Attack,Unit 2,Veronica,"Benimaru ideally 180+ spd on Symbol (guaranteed hit on Peira + BBK)
Veronica high eff
Flan own Arti

Rotation: Peira S3/S2 into random target (place Flan front); Benimaru pushes; s1 with Veronica into Mort (cant counter, Veronica safe survives); Benimaru S3 into Peira (kills + proccs BBK 2nd immortality); S3 Flan into Mort; Veronica s3 mort, kill off BBK with Veronica s1. Mort cant kill flan 1v1"
Attack,Unit 3,Afternoon Soak Flan,"Benimaru ideally 180+ spd on Symbol (guaranteed hit on Peira + BBK)
Veronica high eff
Flan own Arti

Rotation: Peira S3/S2 into random target (place Flan front); Benimaru pushes; s1 with Veronica into Mort (cant counter, Veronica safe survives); Benimaru S3 into Peira (kills + proccs BBK 2nd immortality); S3 Flan into Mort; Veronica s3 mort, kill off BBK with Veronica s1. Mort cant kill flan 1v1"
Defense,Unit 1,Urban Shadow Choux,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill Ilynav, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: Kill Mort with Taeyou (yes, you will), S2/S3 Luluca into Mort (2nd kill). Ilynav/Choux kill themselves on Taeyou"
Defense,Unit 2,Mort,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill Ilynav, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: Kill Mort with Taeyou (yes, you will), S2/S3 Luluca into Mort (2nd kill). Ilynav/Choux kill themselves on Taeyou"
Defense,Unit 3,Empyrean Ilynav,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill Ilynav, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: Kill Mort with Taeyou (yes, you will), S2/S3 Luluca into Mort (2nd kill). Ilynav/Choux kill themselves on Taeyou"
Attack,Unit 1,Sea Phantom Politis,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill Ilynav, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: Kill Mort with Taeyou (yes, you will), S2/S3 Luluca into Mort (2nd kill). Ilynav/Choux kill themselves on Taeyou"
Attack,Unit 2,Top Model Luluca,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill Ilynav, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: Kill Mort with Taeyou (yes, you will), S2/S3 Luluca into Mort (2nd kill). Ilynav/Choux kill themselves on Taeyou"
Attack,Unit 3,Successor Taeyou,"Politis on Unseen Observer, SB 3
Top Model on Book
Taeyou on GC Krau Arti (additional 10 souls)

If all dBreaks land: Kill Ilynav, S2/S3 into Mort with Luluca. Choux forced to atk Taeyou and kills herself

If no dbreaks: Kill Mort with Taeyou (yes, you will), S2/S3 Luluca into Mort (2nd kill). Ilynav/Choux kill themselves on Taeyou"
Defense,Unit 1,Mort,"Alternative: Instead of Frida, ML Roana also works (prone to random counter, 15% on Sea Phantom CR Pushback and Spd is thighter)

Arti: 
Luna on Book
Frida on lvl 24 Bird's Eye View (enough to get 2 Souls)
Ludwig on Kal'adra

Positioning: Ludwig in front, Luna top row (doesnt really matter) and release imprint for more atk on Ludwig

Strat:
SB S3 Luna, S3 Frida, SB S3 Ludwig into Mort (ideally kills), SB S1 into mort if didnt die. S3 to finish off"
Defense,Unit 2,Afternoon Soak Flan,"Alternative: Instead of Frida, ML Roana also works (prone to random counter, 15% on Sea Phantom CR Pushback and Spd is thighter)

Arti: 
Luna on Book
Frida on lvl 24 Bird's Eye View (enough to get 2 Souls)
Ludwig on Kal'adra

Positioning: Ludwig in front, Luna top row (doesnt really matter) and release imprint for more atk on Ludwig

Strat:
SB S3 Luna, S3 Frida, SB S3 Ludwig into Mort (ideally kills), SB S1 into mort if didnt die. S3 to finish off"
Defense,Unit 3,Sea Phantom Politis,"Alternative: Instead of Frida, ML Roana also works (prone to random counter, 15% on Sea Phantom CR Pushback and Spd is thighter)

Arti: 
Luna on Book
Frida on lvl 24 Bird's Eye View (enough to get 2 Souls)
Ludwig on Kal'adra

Positioning: Ludwig in front, Luna top row (doesnt really matter) and release imprint for more atk on Ludwig

Strat:
SB S3 Luna, S3 Frida, SB S3 Ludwig into Mort (ideally kills), SB S1 into mort if didnt die. S3 to finish off"
Attack,Unit 1,New Moon Luna,"Alternative: Instead of Frida, ML Roana also works (prone to random counter, 15% on Sea Phantom CR Pushback and Spd is thighter)

Arti: 
Luna on Book
Frida on lvl 24 Bird's Eye View (enough to get 2 Souls)
Ludwig on Kal'adra

Positioning: Ludwig in front, Luna top row (doesnt really matter) and release imprint for more atk on Ludwig

Strat:
SB S3 Luna, S3 Frida, SB S3 Ludwig into Mort (ideally kills), SB S1 into mort if didnt die. S3 to finish off"
Attack,Unit 2,Frida,"Alternative: Instead of Frida, ML Roana also works (prone to random counter, 15% on Sea Phantom CR Pushback and Spd is thighter)

Arti: 
Luna on Book
Frida on lvl 24 Bird's Eye View (enough to get 2 Souls)
Ludwig on Kal'adra

Positioning: Ludwig in front, Luna top row (doesnt really matter) and release imprint for more atk on Ludwig

Strat:
SB S3 Luna, S3 Frida, SB S3 Ludwig into Mort (ideally kills), SB S1 into mort if didnt die. S3 to finish off"
Attack,Unit 3,Eternal Wanderer Ludwig,"Alternative: Instead of Frida, ML Roana also works (prone to random counter, 15% on Sea Phantom CR Pushback and Spd is thighter)

Arti: 
Luna on Book
Frida on lvl 24 Bird's Eye View (enough to get 2 Souls)
Ludwig on Kal'adra

Positioning: Ludwig in front, Luna top row (doesnt really matter) and release imprint for more atk on Ludwig

Strat:
SB S3 Luna, S3 Frida, SB S3 Ludwig into Mort (ideally kills), SB S1 into mort if didnt die. S3 to finish off"
Defense,Unit 1,Harsetti,"Arti:
Zio - Book
Pavel - Symbol of Unity
Veronica - Oath Key or Andre's Crossbow

IMPORTANT:
Zio needs 100% critchance if Harsetti is fast
Veronica needs 14k HP+ and 1400+ Def to survive 1 BBK counter

Strat vs Fast Harsetti:
S1 Zio into Harsetti (first crit)
SB S3 Veronica into Harsetti (for Def Break); triggers Pavel, Proccs BBK, Veronica pushes up
S1 Veronica to kill BBK
S3 Pavel into Lilias
"
Defense,Unit 2,Blood Blade Karin,"Arti:
Zio - Book
Pavel - Symbol of Unity
Veronica - Oath Key or Andre's Crossbow

IMPORTANT:
Zio needs 100% critchance if Harsetti is fast
Veronica needs 14k HP+ and 1400+ Def to survive 1 BBK counter

Strat vs Fast Harsetti:
S1 Zio into Harsetti (first crit)
SB S3 Veronica into Harsetti (for Def Break); triggers Pavel, Proccs BBK, Veronica pushes up
S1 Veronica to kill BBK
S3 Pavel into Lilias
"
Defense,Unit 3,Lilias,"Arti:
Zio - Book
Pavel - Symbol of Unity
Veronica - Oath Key or Andre's Crossbow

IMPORTANT:
Zio needs 100% critchance if Harsetti is fast
Veronica needs 14k HP+ and 1400+ Def to survive 1 BBK counter

Strat vs Fast Harsetti:
S1 Zio into Harsetti (first crit)
SB S3 Veronica into Harsetti (for Def Break); triggers Pavel, Proccs BBK, Veronica pushes up
S1 Veronica to kill BBK
S3 Pavel into Lilias
"
Attack,Unit 1,Zio,"Arti:
Zio - Book
Pavel - Symbol of Unity
Veronica - Oath Key or Andre's Crossbow

IMPORTANT:
Zio needs 100% critchance if Harsetti is fast
Veronica needs 14k HP+ and 1400+ Def to survive 1 BBK counter

Strat vs Fast Harsetti:
S1 Zio into Harsetti (first crit)
SB S3 Veronica into Harsetti (for Def Break); triggers Pavel, Proccs BBK, Veronica pushes up
S1 Veronica to kill BBK
S3 Pavel into Lilias
"
Attack,Unit 2,Commander Pavel,"Arti:
Zio - Book
Pavel - Symbol of Unity
Veronica - Oath Key or Andre's Crossbow

IMPORTANT:
Zio needs 100% critchance if Harsetti is fast
Veronica needs 14k HP+ and 1400+ Def to survive 1 BBK counter

Strat vs Fast Harsetti:
S1 Zio into Harsetti (first crit)
SB S3 Veronica into Harsetti (for Def Break); triggers Pavel, Proccs BBK, Veronica pushes up
S1 Veronica to kill BBK
S3 Pavel into Lilias
"
Attack,Unit 3,Veronica,"Arti:
Zio - Book
Pavel - Symbol of Unity
Veronica - Oath Key or Andre's Crossbow

IMPORTANT:
Zio needs 100% critchance if Harsetti is fast
Veronica needs 14k HP+ and 1400+ Def to survive 1 BBK counter

Strat vs Fast Harsetti:
S1 Zio into Harsetti (first crit)
SB S3 Veronica into Harsetti (for Def Break); triggers Pavel, Proccs BBK, Veronica pushes up
S1 Veronica to kill BBK
S3 Pavel into Lilias
"
Defense,Unit 1,Boss Arunka,"Arti:
Krau - Holy Sacrifice
Straze - Ideally Tachi, Hell Cutter or Portrait also works
Luna - Book

Strat: Rinak S2/S3 into Krau, all gucci. Luna SB 3, Straze S3 (Kills Ilynav 100%), Krau S3 into Arunka (kills even if Ilynav revived); S2 Luna into Rinak. Auto from there if Ilynav revived prior

Alternative: 
No Straze? Use Midnight Gala Lilias. S3 Gala for sure kills Arunka. can't lose from there. Make sure Krau is on Protection set such that Gala survives Rinak splash dmg."
Defense,Unit 2,Empyrean Ilynav,"Arti:
Krau - Holy Sacrifice
Straze - Ideally Tachi, Hell Cutter or Portrait also works
Luna - Book

Strat: Rinak S2/S3 into Krau, all gucci. Luna SB 3, Straze S3 (Kills Ilynav 100%), Krau S3 into Arunka (kills even if Ilynav revived); S2 Luna into Rinak. Auto from there if Ilynav revived prior

Alternative: 
No Straze? Use Midnight Gala Lilias. S3 Gala for sure kills Arunka. can't lose from there. Make sure Krau is on Protection set such that Gala survives Rinak splash dmg."
Defense,Unit 3,Rinak,"Arti:
Krau - Holy Sacrifice
Straze - Ideally Tachi, Hell Cutter or Portrait also works
Luna - Book

Strat: Rinak S2/S3 into Krau, all gucci. Luna SB 3, Straze S3 (Kills Ilynav 100%), Krau S3 into Arunka (kills even if Ilynav revived); S2 Luna into Rinak. Auto from there if Ilynav revived prior

Alternative: 
No Straze? Use Midnight Gala Lilias. S3 Gala for sure kills Arunka. can't lose from there. Make sure Krau is on Protection set such that Gala survives Rinak splash dmg."
Attack,Unit 1,Krau,"Arti:
Krau - Holy Sacrifice
Straze - Ideally Tachi, Hell Cutter or Portrait also works
Luna - Book

Strat: Rinak S2/S3 into Krau, all gucci. Luna SB 3, Straze S3 (Kills Ilynav 100%), Krau S3 into Arunka (kills even if Ilynav revived); S2 Luna into Rinak. Auto from there if Ilynav revived prior

Alternative: 
No Straze? Use Midnight Gala Lilias. S3 Gala for sure kills Arunka. can't lose from there. Make sure Krau is on Protection set such that Gala survives Rinak splash dmg."
Attack,Unit 2,Straze,"Arti:
Krau - Holy Sacrifice
Straze - Ideally Tachi, Hell Cutter or Portrait also works
Luna - Book

Strat: Rinak S2/S3 into Krau, all gucci. Luna SB 3, Straze S3 (Kills Ilynav 100%), Krau S3 into Arunka (kills even if Ilynav revived); S2 Luna into Rinak. Auto from there if Ilynav revived prior

Alternative: 
No Straze? Use Midnight Gala Lilias. S3 Gala for sure kills Arunka. can't lose from there. Make sure Krau is on Protection set such that Gala survives Rinak splash dmg."
Attack,Unit 3,New Moon Luna,"Arti:
Krau - Holy Sacrifice
Straze - Ideally Tachi, Hell Cutter or Portrait also works
Luna - Book

Strat: Rinak S2/S3 into Krau, all gucci. Luna SB 3, Straze S3 (Kills Ilynav 100%), Krau S3 into Arunka (kills even if Ilynav revived); S2 Luna into Rinak. Auto from there if Ilynav revived prior

Alternative: 
No Straze? Use Midnight Gala Lilias. S3 Gala for sure kills Arunka. can't lose from there. Make sure Krau is on Protection set such that Gala survives Rinak splash dmg."
Defense,Unit 1,Mort,"Arti:
Lidica - Renewed Will (anything works tho)
Eligos - An offer you can't refuse (anything works, too)
Taeyou - Merciless Glutton

Strat (for worst case - all 15%)
S2 Lidica; S3 Eligos (if Mort has Resitrict, kill flan, otherwise hit Mort); if Taeyou pushed: S3, no defbreaks? atk Senya to most likely kill; S3 Lidica into Mort for pushback. Auto from here."
Defense,Unit 2,Young Senya,"Arti:
Lidica - Renewed Will (anything works tho)
Eligos - An offer you can't refuse (anything works, too)
Taeyou - Merciless Glutton

Strat (for worst case - all 15%)
S2 Lidica; S3 Eligos (if Mort has Resitrict, kill flan, otherwise hit Mort); if Taeyou pushed: S3, no defbreaks? atk Senya to most likely kill; S3 Lidica into Mort for pushback. Auto from here."
Defense,Unit 3,Afternoon Soak Flan,"Arti:
Lidica - Renewed Will (anything works tho)
Eligos - An offer you can't refuse (anything works, too)
Taeyou - Merciless Glutton

Strat (for worst case - all 15%)
S2 Lidica; S3 Eligos (if Mort has Resitrict, kill flan, otherwise hit Mort); if Taeyou pushed: S3, no defbreaks? atk Senya to most likely kill; S3 Lidica into Mort for pushback. Auto from here."
Attack,Unit 1,Lidica,"Arti:
Lidica - Renewed Will (anything works tho)
Eligos - An offer you can't refuse (anything works, too)
Taeyou - Merciless Glutton

Strat (for worst case - all 15%)
S2 Lidica; S3 Eligos (if Mort has Resitrict, kill flan, otherwise hit Mort); if Taeyou pushed: S3, no defbreaks? atk Senya to most likely kill; S3 Lidica into Mort for pushback. Auto from here."
Attack,Unit 2,Successor Taeyou,"Arti:
Lidica - Renewed Will (anything works tho)
Eligos - An offer you can't refuse (anything works, too)
Taeyou - Merciless Glutton

Strat (for worst case - all 15%)
S2 Lidica; S3 Eligos (if Mort has Resitrict, kill flan, otherwise hit Mort); if Taeyou pushed: S3, no defbreaks? atk Senya to most likely kill; S3 Lidica into Mort for pushback. Auto from here."
Attack,Unit 3,Eligos,"Arti:
Lidica - Renewed Will (anything works tho)
Eligos - An offer you can't refuse (anything works, too)
Taeyou - Merciless Glutton

Strat (for worst case - all 15%)
S2 Lidica; S3 Eligos (if Mort has Resitrict, kill flan, otherwise hit Mort); if Taeyou pushed: S3, no defbreaks? atk Senya to most likely kill; S3 Lidica into Mort for pushback. Auto from here."
Defense,Unit 1,Boss Arunka,"Main Strat:
Have one Blue Mage (any works) on Book and in Backline, needs enough HP to survive Rinak S2 (just 6* with some whatever gear is good enough)
Jenua on Wind Rider
DBS - 3F and as much HP as possible, neglect all else. 

Rinak S2/S3 into Blue Mage (dies potentially, doesnt matter) > Sharun S3 (kills blue mage, proccs Jenua, he survives 100% with immortality up) > Jenua push in front > Soulburn S1 Jenua into Arunka (this kills if u have >3.500 ATK + 320 CD) > Soulburn S3 Bride Senya. Auto from here, you won.

BEWARE: If Arunka is on PoV, you'll need Jenua on slower build (150 spd) with 4.5k ATK and 350 CD. 

Alternative 1: 
Abyssal Yufine, Lone Wolf Peira, Fallen Cecilia
Assumes Rinak outspeeds:
Rinak S2/S3 into highest Spd unit (usually Peira), Sharun S3. 
If Peira low HP - S3, S1. If Peira dodged all 3 atks and has >50% HP, S1 into Arunka. S3 FCC to transfer debuffs (or in worst case she resisted all) and grant Skill Null. After that pretty much Auto. Slightly prone to Peira dodging.

ALTERNATIVE 2 Strat (untested):
Bride Senya (Bastion of Perlutia), Amiki (150+ ER), Benimaru (15k+ HP)
How does this work?
Rinak S2/S3 into Amiki, does NOT procc. Sharun S3 only proccs Amiki on Cascade, Benimaru survives both at low HP. 
This assumes no counter luck!
Benimaru S3 into Arunka (if Arunka counters, beni will die, run is in danger), if no counter you'll most likely kill something. Bride S3, Amiki S3. Technically you should win this off of all the fix dmg. 

ALTERNATIVE STRAT 2 (turbo unsafe unless you're a spd whale):
Zio at 280+ spd to guarantee Rinak outspeed
Frida or ML Roana
ML Ludwig at 260+ spd full dmg (you will have to SB Zio for this to work)"
Defense,Unit 2,Rinak,"Main Strat:
Have one Blue Mage (any works) on Book and in Backline, needs enough HP to survive Rinak S2 (just 6* with some whatever gear is good enough)
Jenua on Wind Rider
DBS - 3F and as much HP as possible, neglect all else. 

Rinak S2/S3 into Blue Mage (dies potentially, doesnt matter) > Sharun S3 (kills blue mage, proccs Jenua, he survives 100% with immortality up) > Jenua push in front > Soulburn S1 Jenua into Arunka (this kills if u have >3.500 ATK + 320 CD) > Soulburn S3 Bride Senya. Auto from here, you won.

BEWARE: If Arunka is on PoV, you'll need Jenua on slower build (150 spd) with 4.5k ATK and 350 CD. 

Alternative 1: 
Abyssal Yufine, Lone Wolf Peira, Fallen Cecilia
Assumes Rinak outspeeds:
Rinak S2/S3 into highest Spd unit (usually Peira), Sharun S3. 
If Peira low HP - S3, S1. If Peira dodged all 3 atks and has >50% HP, S1 into Arunka. S3 FCC to transfer debuffs (or in worst case she resisted all) and grant Skill Null. After that pretty much Auto. Slightly prone to Peira dodging.

ALTERNATIVE 2 Strat (untested):
Bride Senya (Bastion of Perlutia), Amiki (150+ ER), Benimaru (15k+ HP)
How does this work?
Rinak S2/S3 into Amiki, does NOT procc. Sharun S3 only proccs Amiki on Cascade, Benimaru survives both at low HP. 
This assumes no counter luck!
Benimaru S3 into Arunka (if Arunka counters, beni will die, run is in danger), if no counter you'll most likely kill something. Bride S3, Amiki S3. Technically you should win this off of all the fix dmg. 

ALTERNATIVE STRAT 2 (turbo unsafe unless you're a spd whale):
Zio at 280+ spd to guarantee Rinak outspeed
Frida or ML Roana
ML Ludwig at 260+ spd full dmg (you will have to SB Zio for this to work)"
Defense,Unit 3,Dragon King Sharun,"Main Strat:
Have one Blue Mage (any works) on Book and in Backline, needs enough HP to survive Rinak S2 (just 6* with some whatever gear is good enough)
Jenua on Wind Rider
DBS - 3F and as much HP as possible, neglect all else. 

Rinak S2/S3 into Blue Mage (dies potentially, doesnt matter) > Sharun S3 (kills blue mage, proccs Jenua, he survives 100% with immortality up) > Jenua push in front > Soulburn S1 Jenua into Arunka (this kills if u have >3.500 ATK + 320 CD) > Soulburn S3 Bride Senya. Auto from here, you won.

BEWARE: If Arunka is on PoV, you'll need Jenua on slower build (150 spd) with 4.5k ATK and 350 CD. 

Alternative 1: 
Abyssal Yufine, Lone Wolf Peira, Fallen Cecilia
Assumes Rinak outspeeds:
Rinak S2/S3 into highest Spd unit (usually Peira), Sharun S3. 
If Peira low HP - S3, S1. If Peira dodged all 3 atks and has >50% HP, S1 into Arunka. S3 FCC to transfer debuffs (or in worst case she resisted all) and grant Skill Null. After that pretty much Auto. Slightly prone to Peira dodging.

ALTERNATIVE 2 Strat (untested):
Bride Senya (Bastion of Perlutia), Amiki (150+ ER), Benimaru (15k+ HP)
How does this work?
Rinak S2/S3 into Amiki, does NOT procc. Sharun S3 only proccs Amiki on Cascade, Benimaru survives both at low HP. 
This assumes no counter luck!
Benimaru S3 into Arunka (if Arunka counters, beni will die, run is in danger), if no counter you'll most likely kill something. Bride S3, Amiki S3. Technically you should win this off of all the fix dmg. 

ALTERNATIVE STRAT 2 (turbo unsafe unless you're a spd whale):
Zio at 280+ spd to guarantee Rinak outspeed
Frida or ML Roana
ML Ludwig at 260+ spd full dmg (you will have to SB Zio for this to work)"
Attack,Unit 1,Dragon Bride Senya,"Main Strat:
Have one Blue Mage (any works) on Book and in Backline, needs enough HP to survive Rinak S2 (just 6* with some whatever gear is good enough)
Jenua on Wind Rider
DBS - 3F and as much HP as possible, neglect all else. 

Rinak S2/S3 into Blue Mage (dies potentially, doesnt matter) > Sharun S3 (kills blue mage, proccs Jenua, he survives 100% with immortality up) > Jenua push in front > Soulburn S1 Jenua into Arunka (this kills if u have >3.500 ATK + 320 CD) > Soulburn S3 Bride Senya. Auto from here, you won.

BEWARE: If Arunka is on PoV, you'll need Jenua on slower build (150 spd) with 4.5k ATK and 350 CD. 

Alternative 1: 
Abyssal Yufine, Lone Wolf Peira, Fallen Cecilia
Assumes Rinak outspeeds:
Rinak S2/S3 into highest Spd unit (usually Peira), Sharun S3. 
If Peira low HP - S3, S1. If Peira dodged all 3 atks and has >50% HP, S1 into Arunka. S3 FCC to transfer debuffs (or in worst case she resisted all) and grant Skill Null. After that pretty much Auto. Slightly prone to Peira dodging.

ALTERNATIVE 2 Strat (untested):
Bride Senya (Bastion of Perlutia), Amiki (150+ ER), Benimaru (15k+ HP)
How does this work?
Rinak S2/S3 into Amiki, does NOT procc. Sharun S3 only proccs Amiki on Cascade, Benimaru survives both at low HP. 
This assumes no counter luck!
Benimaru S3 into Arunka (if Arunka counters, beni will die, run is in danger), if no counter you'll most likely kill something. Bride S3, Amiki S3. Technically you should win this off of all the fix dmg. 

ALTERNATIVE STRAT 2 (turbo unsafe unless you're a spd whale):
Zio at 280+ spd to guarantee Rinak outspeed
Frida or ML Roana
ML Ludwig at 260+ spd full dmg (you will have to SB Zio for this to work)"
Attack,Unit 2,Jenua,"Main Strat:
Have one Blue Mage (any works) on Book and in Backline, needs enough HP to survive Rinak S2 (just 6* with some whatever gear is good enough)
Jenua on Wind Rider
DBS - 3F and as much HP as possible, neglect all else. 

Rinak S2/S3 into Blue Mage (dies potentially, doesnt matter) > Sharun S3 (kills blue mage, proccs Jenua, he survives 100% with immortality up) > Jenua push in front > Soulburn S1 Jenua into Arunka (this kills if u have >3.500 ATK + 320 CD) > Soulburn S3 Bride Senya. Auto from here, you won.

BEWARE: If Arunka is on PoV, you'll need Jenua on slower build (150 spd) with 4.5k ATK and 350 CD. 

Alternative 1: 
Abyssal Yufine, Lone Wolf Peira, Fallen Cecilia
Assumes Rinak outspeeds:
Rinak S2/S3 into highest Spd unit (usually Peira), Sharun S3. 
If Peira low HP - S3, S1. If Peira dodged all 3 atks and has >50% HP, S1 into Arunka. S3 FCC to transfer debuffs (or in worst case she resisted all) and grant Skill Null. After that pretty much Auto. Slightly prone to Peira dodging.

ALTERNATIVE 2 Strat (untested):
Bride Senya (Bastion of Perlutia), Amiki (150+ ER), Benimaru (15k+ HP)
How does this work?
Rinak S2/S3 into Amiki, does NOT procc. Sharun S3 only proccs Amiki on Cascade, Benimaru survives both at low HP. 
This assumes no counter luck!
Benimaru S3 into Arunka (if Arunka counters, beni will die, run is in danger), if no counter you'll most likely kill something. Bride S3, Amiki S3. Technically you should win this off of all the fix dmg. 

ALTERNATIVE STRAT 2 (turbo unsafe unless you're a spd whale):
Zio at 280+ spd to guarantee Rinak outspeed
Frida or ML Roana
ML Ludwig at 260+ spd full dmg (you will have to SB Zio for this to work)"
Attack,Unit 3,Any Blue Mage,"Main Strat:
Have one Blue Mage (any works) on Book and in Backline, needs enough HP to survive Rinak S2 (just 6* with some whatever gear is good enough)
Jenua on Wind Rider
DBS - 3F and as much HP as possible, neglect all else. 

Rinak S2/S3 into Blue Mage (dies potentially, doesnt matter) > Sharun S3 (kills blue mage, proccs Jenua, he survives 100% with immortality up) > Jenua push in front > Soulburn S1 Jenua into Arunka (this kills if u have >3.500 ATK + 320 CD) > Soulburn S3 Bride Senya. Auto from here, you won.

BEWARE: If Arunka is on PoV, you'll need Jenua on slower build (150 spd) with 4.5k ATK and 350 CD. 

Alternative 1: 
Abyssal Yufine, Lone Wolf Peira, Fallen Cecilia
Assumes Rinak outspeeds:
Rinak S2/S3 into highest Spd unit (usually Peira), Sharun S3. 
If Peira low HP - S3, S1. If Peira dodged all 3 atks and has >50% HP, S1 into Arunka. S3 FCC to transfer debuffs (or in worst case she resisted all) and grant Skill Null. After that pretty much Auto. Slightly prone to Peira dodging.

ALTERNATIVE 2 Strat (untested):
Bride Senya (Bastion of Perlutia), Amiki (150+ ER), Benimaru (15k+ HP)
How does this work?
Rinak S2/S3 into Amiki, does NOT procc. Sharun S3 only proccs Amiki on Cascade, Benimaru survives both at low HP. 
This assumes no counter luck!
Benimaru S3 into Arunka (if Arunka counters, beni will die, run is in danger), if no counter you'll most likely kill something. Bride S3, Amiki S3. Technically you should win this off of all the fix dmg. 

ALTERNATIVE STRAT 2 (turbo unsafe unless you're a spd whale):
Zio at 280+ spd to guarantee Rinak outspeed
Frida or ML Roana
ML Ludwig at 260+ spd full dmg (you will have to SB Zio for this to work)"
